Id,Topic,Question
245,Control presupuestario,"¿La Oficina de Programa País proporciona los datos, informes/información pertinentes al personal del proyecto para ayudarlos a monitorear el progreso financiero de los respectivos proyectos?"
246,Control presupuestario,¿El Director de Programa País monitorea  las horas de trabajo para la cartera/proyectos del país?
247,Control presupuestario,¿El Director de Programa País  monitorea los controles realizados por el Director/Coordinador de Proyecto  sobre el seguimiento presupuestario y las medidas correctivas tomadas?
248,Control presupuestario, ¿El Director de Programa Paía revisa y analiza el Informe de Margen de Contribución semestralmente?
249,Control presupuestario,¿El archivo contable Banana cuenta con la última versión aprobada de los presupuestos de los proyectos?
250,Control presupuestario, ¿El Director/Coordinador de Proyecto realiza el seguimiento del presupuesto de manera mensual?
251,Control presupuestario,¿El Director de Programa País realiza análisis de desviaciones entre el presupuesto y lo ejecutado realmente y toma medidas correctivas en un plazo determinado?
252,Contrôle Budgétaire,"Le Bureau du Programme fournit-il les données, rapports / informations pertienents au personnel du projet pour les aider à suivre les progrès financiers des projets respectifs?"
253,Contrôle Budgétaire,Le logiciel de comptabilité Banana contient-il la dernière version approuvée des budgets du projet?
254,Contrôle Budgétaire,Le Gestionnaire de Programme effectue-t-il le suivi budgétaire sur une base mensuelle?
255,Contrôle Budgétaire,Le Directeur Pays surveille-t-il les heures de travail pour le portefeuille / projets Pays?
256,Contrôle Budgétaire,Le Directeur Pays surveille-t-il les contrôles effectués par le Responsable de Programme sur le suivi budgétaire et les mesures correctives initiées?
257,Contrôle Budgétaire,Le Directeur Pays examine-t-il et analyse-t-il le rapport sur la marge de contribution sur une base semestrielle?
258,Contrôle Budgétaire,Effectuez-vous une analyse des écarts entre le budget et les réalisations et prenez-vous des mesures correctives dans un délai déterminé?
259,Rapport des donateurs,Les rapports financiers addressés au donateur sont-ils préparés conformément aux exigences et conditions spécifiques du donateur?
260,Rapport des donateurs,Tous les coûts encourus pour le projet sont-ils systématiquement inclus dans le rapport financier addressé au donateur?
261,Rapport des donateurs,Les frais du siège (le cas échéant) sont-ils systématiquement intégrés dans le rapport financier au donateur pour les mandats locaux ?
262,Rapport des donateurs,Surveillez-vous le budget du contrat du donateur par rapport aux dépenses réelles à intervalles réguliers?
263,Rapport des donateurs,"En cas de dépenses prévues dépassant le budget / seuil approuvé par le donateur, obtenez-vous des approbations écrites préalables du donateur?"
264,Rapport des donateurs,"Surveillez-vous et assurez-vous la réception en temps voulu des fonds du donateur, comme indiqué dans le contrat du donateur?"
265,Rapport des donateurs,"Dans le cas de contrats de donateurs pour des mandats locaux en devises étrangères, veillez-vous à l'application correcte des taux de change, le cas échéant ?"
266,Rapport des donateurs,"En cas de contrats avec des devises étrangères, analysez-vous / évaluez-vous la variation de change par rapport au contrat global et son impact sur les finances du Projet?"
267,Rapport des donateurs,Assurez-vous un audit en temps opportun des projets financés par les donateurs lorsque cela est nécessaire?
268,Rapport des donateurs,Le suivi des recommandations d'audit est-il systématiquement assuré en temps opportun?
269,Auditoría,¿La empresa auditora seleccionada para la Auditoría Anual de Grupo es aprobada anualmente por nuestro principal donante COSUDE antes de la firma del contrato de auditoría?
270,Auditoría, ¿La auditoría nacional anual se realiza en base a los Términos de Referencia  aprobados y de acuerdo con las instrucciones emitidas por la Sede?
271,Auditoría,La Oficina del Programa hace seguimiento  e implementa sistemáticamente las mejoras requeridas en base a las recomendaciones de auditoría?
272,Partenariat,La sélection des partenaires est-elle basée sur une diligence raisonnable (évaluation des partenaires)?
273,Partenariat,Le personnel financier participe-t-il au processus d'évaluation / sélection des partenaires?
274,Partenariat,Existe-t-il un contrat formel signé entre Helvetas et le Partenaire pour tout partenariat?
275,Partenariat,Le personnel opérationnel et financier collaborent-t-ils étroitement pour l'examen et l'apporbation des rapports financiers et d'autres informations financières pertinentes reçues des partenaires? Est-ce qu'ils font le suivi dans les délais impartis ?
276,Partenariat,Les exigences de conformité du partenaire sont-elles systématiquement contrôlées et des mesures sont-elles appliquées en cas de retard / ou de non-conformité?
277,Partenariat,"Assurez-vous un suivi financier régulier des partenaires? (par exemple, analyse sur la corrélation des rapports narratifs et financiers)?"
278,Partenariat,Des visites sur le terrain sont-elles effectuées dans les bureaux partenaires et les lieux d'activité à intervalles réguliers?
279,Partenariat,Les dépenses financées pour le partenaire par Helvetas sont-elles auditées pour les subventions supérieures à 50.000 francs suisses par an?
280,Partenariat,"Est-il garanti qu'à la fin du contrat avec le partenaire, les rapports opérationnels et financiers finaux sont reçus, comptabilisés et les avances rapprochées / réglées?"
281,Accounting System,"Are the advances paid to service providers/partner organisations accounted as advances first in the Banana accounting, followed by expenses recognition based on effective expenses reported in their financial statement?"
282,Accounting System,Is monitoring of all advances conducted in a time-bound manner?
283,Accounting System,Are all cashboxes and bank accounts reflected in the Banana accounting system?
284,Accounting System,"Are business trips properly planned, carried out and accounts settled according to internal rules and timelines?"
285,Accounting System,"Do you follow Head Office regulations on Deposits, Debtors and Write-off of bad Debts?"
286,Accounting System,Are all accounting and supporting documents stored securely in a safe and structured manner that allow authorized users easy access?
287,Accounting System,"Are the payroll calculations, reconciliation, control and payout managed systematically and is confidentiality maintained?"
288,Partnership,Are the Partner selection made based on due diligence (partner assessment)?
289,Partnership,Do Finance staff participate in the partner assessment / selection process?
290,Partnership,Are there a formal contract signed between Helvetas and Partner for all partnerships?
291,Partnership,Do operational and financial staff collaborate closely for review and approval of Financial reports and other finance relevant information received from the partners? monitored in a timely manner?
292,Partnership,Are the compliance requirements by the Partner monitored systematically and measures applied for instances of delay/or non-compliance?
293,Partnership,"Do you ensure regular financial monitoring of partners? (for e.g., Variance analysis based on the correlation of narrative and financial reports)?"
294,Partnership,Are field visits carried out at partner offices and activity locations at regular intervals?
295,Partnership,"Are the expenditure funded to Partner by Helvetas audited for grants exceeding 50,000 Swiss francs in a year?"
296,Partnership,"Is it ensured that, at the end of partner contract, the final operational and financial reports are received accounted for and advances reconciled/settled?"
297,Donor Reports,Are the financial reports to donor prepared in accordance with donor specific requirements and conditions?
298,Donor Reports,Are all the costs incurred for the project systematically included in the financial report to the donor?
299,Donor Reports,Are the Head Office costs (where applicable) systematically integrated in the financial report to the donor for local mandates?
300,Donor Reports,Do you monitor the donor contract budget to the actual expenses at regular intervals?
301,Donor Reports,"In case of anticipated spending in excess of donor approved budget / threshold, do you obtain prior written approvals from the donor?"
302,Donor Reports,Do you monitor and ensure timely receipt of funds from the donor as stated in the donor contract?
303,Donor Reports,"In cases of donor contracts for local mandates in foreign currency, do you ensure correct application of currency exchanges as required?"
304,Donor Reports,"In case of donor contracts in foreign currency, do you assess/evaluate exchange variation to the overall contract and its impact on the project finances?"
305,Donor Reports,Do you ensure timely audit of donor funded projects when it is required?
306,Donor Reports,Are the follow up of audit recommendations systematically ensured in a timely manner?
307,Système de Comptabilité,"Les avances versées aux prestataires de services / organisations partenaires sont-elles d'abord comptabilisées comme des avances dans le logiciel de comptabilité Banana, suivies de la comptabilisation des dépenses sur la base des dépenses effectives déclarées dans leurs états financiers?"
308,Système de Comptabilité,Le suivi de toutes les avances tient-il-compte des délais impartis?
309,Système de Comptabilité,Toutes les caisses et tous les comptes bancaires sont-ils  dans le système comptable Banana?
310,Système de Comptabilité,"Les voyages d'affaires sont-ils correctement planifiés, effectués, et les comptes réglés conformément aux règles et délais internes?"
311,Système de Comptabilité,"Respectez-vous les réglementations du Siège Social concernant les dépôts, les débiteurs et l'annulation des débits irrécouvrables?"
312,Système de Comptabilité,"Tous les documents comptables et justificatifs sont-ils stockés en toute sécurité, de manière sécurisée et structurée, permettant un accès facile aux utilisateurs autorisés?"
313,Système de Comptabilité,"Les calculs des salaires, le rapprochement, le contrôle et le paiement sont-ils gérés de manière systématique et confidentiels?"
314,Approvisionnement,Mettez-vous en œuvre toutes les règles énoncées dans les procédures de passation des marchés?
315,Approvisionnement,Les procédures sur les appels d'offres nationales  du Bureau du Programme sont-elles transparentes et suivies conformément aux règles établies?
316,Approvisionnement,Les procédures nationales de passation des marchés de biens et services reflètent-elles fidèlement les grands principes et objectifs tels que décrits dans les manuels du Siège
317,Approvisionnement,Les fournisseurs fixes de biens et services sont-ils renégociés et renouvelés annuellement selon les procédures établies?
318,Approvisionnement,"Les cours de formation, ateliers, séminaires, etc. sont-ils préparés et organisés conformément aux procédures de passation des marchés établies?"
319,Adquisiciones,¿Las normas nacionales de licitación de la Oficina de Programa País son transparentes y se siguen de acuerdo con las reglas establecidas?
320,Adquisiciones,¿Los procedimientos nacionales de contratación de bienes y servicios reflejan los principales principios y objetivos descritos en el Manual Financiero de la sede?
321,Sistema de contabilidad,"¿Los anticipos pagados a los proveedores de servicios/organizaciones asociadas se contabilizan primero como anticipos en la contabilidad de Banana, seguidos del reconocimiento de gastos en función de los gastos efectivos reportados en su estado financiero?"
322,Sistema de contabilidad, ¿Se realiza el seguimiento de todos los anticipos con un límite de tiempo?
323,Sistema de contabilidad,¿Están todas las cajas y cuentas bancarias reflejadas en el sistema contable Banana?
324,Sistema de contabilidad, ¿Se planifican y realizan los viajes por trabajo correctamente y las cuentas se liquidan de acuerdo con las normas y los plazos internos?
325,Sistema de contabilidad," ¿Sigue usted la normativa de la Sede sobre Depósitos, Deudores y Castigo (cancelación/regularización)  de Cuentas Incobrables?"
326,Sistema de contabilidad,¿Se almacenan de manera segura y estructurada todos los documentos contables y de respaldo  para permitir el fácil acceso a los usuarios autorizados?
327,Sistema de contabilidad,"¿Se gestionan sistemáticamente los cálculos de la planilla (nómina) de sueldos, la conciliación, el control y el pago y se mantiene la confidencialidad?"
328,Adquisiciones,¿Implementa usted todos los requisitos establecidos definidos en los Procedimientos de Adquisición?
329,Adquisiciones,¿Se renegocian y renuevan anualmente los proveedores fijos de bienes y servicios siguiendo los procedimientos establecidos?
330,Adquisiciones,"¿Se preparan y llevan a cabo cursos de formación, talleres, seminarios, etc. siguiendo los procedimientos de contratación establecidos?"
331,Partenariado,¿Se realiza la selección de socios con base en la diligencia debida (evaluación de socios)?
332,Partenariado,¿Participa el personal de Finanzas en el proceso de evaluación/selección de socios?
333,Partenariado, ¿Existe un contrato formal firmado entre Helvetas y el Socio para todos los partenariados?
334,Partenariado,¿El personal operativo y financiero colabora estrechamente para la revisión y aprobación de los informes financieros y otra información financiera relevante recibida de los socios? ¿Se monitorea de manera oportuna?
335,Partenariado,¿Se controlan sistemáticamente los requisitos de cumplimiento por parte del socio y se aplican medidas para los casos de retraso o incumplimiento?
336,Partenariado,"¿Se garantiza un seguimiento financiero regular de los socios? (por ejemplo, análisis de varianza basado en la correlación de informes narrativos y financieros)?"
337,Partenariado,¿Se realizan visitas de campo en las oficinas de los socios y los lugares de actividad a intervalos regulares?
338,Partenariado,¿Se auditan los gastos financiados al socio por parte de Helvetas para contribucines  superiores a 50.000 francos suizos en un año?
339,Partenariado,"¿Se garantiza que, al final del contrato con el socio, se reciban los informes operativos y financieros finales y se reconcilien/liquiden los anticipos?"
340,Informes de donantes,¿Los informes financieros se preparan para el donante de acuerdo con los requisitos y condiciones específicos del donante?
341,Informes de donantes,¿En el informe financiero al donante se incluyen sistemáticamente todos los costos pagados para el proyecto?
342,Informes de donantes,¿Se integran sistemáticamente los costes de la sede central (si procede) en el informe financiero al donante para los mandatos locales?
343,Informes de donantes,¿Supervisa usted el presupuesto del contrato del donante hasta los gastos reales a intervalos regulares?
344,Informes de donantes,"En caso de gastos anticipados que excedan el presupuesto o límite  aprobado por el donante, ¿obtiene usted aprobaciones previas por escrito del donante?"
345,Informes de donantes,¿Supervisa y asegura la recepción oportuna de los fondos del donante como se indica en el contrato del donante?
346,Informes de donantes,"En los casos de contratos de donantes para mandatos locales en moneda extranjera, ¿se garantiza la correcta aplicación de los cambios de divisa según sea necesario?"
347,Informes de donantes,"En el caso de contratos de donantes en moneda extranjera, ¿evalúa la variación cambiaria del contrato general y su impacto en las finanzas del proyecto?"
348,Informes de donantes,¿Garantiza la auditoría oportuna de los proyectos financiados por donantes cuando es necesario?
349,Informes de donantes,¿Se asegura sistemáticamente y de manera oportuna el seguimiento de las recomendaciones de auditoría?
350,Réglementation des TI,Tous les services et infrastructures informatiques utilisés dans le pays sont-ils conformes aux normes minimales en matière de technologies de l'information ?
351,Normativa informática,¿Cumplen todos los servicios de TI y la infraestructura de TI utilizados en el país las normas mínimas de TI?
352,IT Regulations,Are all IT services and IT infrastructure used in the country compliant with the IT minimum standards?
353,Finanzas - General,¿Se lleva a cabo y se mantiene el almacenamiento y archivo de los documentos financieros durante el tiempo estipulado? (Mínimo de 10 años de almacenamiento necesario)
354,Finanzas - General,"¿Siguen la Oficina de Programa País y  los Proyectos las medidas requeridas para el reembolso del IVA (Impuesto al Valor Agregado) dentro del plazo prescrito para proyectos exentos de IVA (UE, Banco Mundial, COSUDE, otros) según corresponda?"
355,Finance - General,Does the Programme Office check if there are any conflicts between the National Finance Manual and local laws/regulations? 
356,Finance - General,Are conflicts adequately treated in the National Finance Manual? 
357,Finance - General,Does the Programme Office have an organizational structure including the setup of projects? 
358,Finance - General,Does the Programme Office comply with the statutory reporting requirements in a timely manner? 
359,Finance - General,Do all units in the country act in compliance with tax regulations? 
360,Finance - General,"Does the Programme Office provide training on relevant finance management topics to key staff members at regular intervals? (Finance Manual, Finance Monitoring Manual, Internal Controls and other procedures) "
361,Budgetary Control,Does the CD monitor the controls performed by the PM over the budget monitoring and corrective measures initiated? 
362,Budgetary Control,Does the CD review and analyse the Contribution Margin Report on a Semester basis? 
363,Internal Controls,Is the “Delegated Authority Document” reviewed/updated annually to ensure its relevance/validity? 
364,Internal Controls,"Does the Programme Office send written confirmation for receipt of funds to Head Office (with details of funds received, exchange rate etc,.) when funds are credited in the Programme Office bank account? "
365,Audit,Is the annual national audit performed based on approved Group Audit ToR and as per instructions issued by the Head office? 
366,Personnel Regulations,Does the Programme Office ensure that their employees discharge their duties according to their employment contracts? 
367,Personnel Regulations,Is the staff performance checked regularly with an annual appraisal and are the necessary development measures agreed upon? 
